business_id,uid,rid,stars,comment
46-J3Ht5rxoJkXBzzoLEfA,_4NHePAXLhcloTD04wqpqw,jSwaxW5ywKD4GM-EGvlDtw,2,Picked up a quick cappuccino as I attended a work meeting in the building. It took longer than expected (particularly since it wasn't overly busy) but they did manage to provide me with what I wanted. The cappuccino was underwhelming with the coffee being very strong for no discernible reason. I dislike having to put more sugar to compensate for this as it adds on the calories.
46-J3Ht5rxoJkXBzzoLEfA,pEzb9RfmnD2zn5wUPpdmzg,wH08sviT5uiqyQoz2gCW7g,2,Lattes d'hiver sont arrivés ! Guimauve grillée & canne en bonbons. Menthe & chocolat ! mmm..Par contre; cette location est vraiment bof. Le décor est joli; mais c'est très achalandé; et les pâtisseries goûtent le carton.
46-J3Ht5rxoJkXBzzoLEfA,9fe41Vmw245Eho1PghHHKw,hBkYvjGLxCLr2HWO_2Euuw,4,Easy stop at the train station. I grabbed a iced coffee; and it was fantastic. Service was nice; and the place was clean.
46-J3Ht5rxoJkXBzzoLEfA,PZftbEmXuOLopArAnuB--Q,e5MqGUqjQmjyDemFOZ4Rvg,5,I thought this place was better than Starbucks..I had cafe latte and cappuccino. Both of them were good. Their service was good too.
46-J3Ht5rxoJkXBzzoLEfA,U1vl4SQzO3wTAWlYVnSjnw,jDF7Ddrw-8Ikp9GkyPFs6A,4,I've been going to Second Cup for a while now because they make my favourite drink. They call it a Frozen Hot Chocolate (an oxymoron; I know) but recently they've been rebranding it as a FroCho (dumbest name; I know). And so now whenever I order it; I never know which to tell the barista because they never know both names...I find myself having to either repeat the name twice; or switch it out. ..It's so frustrating because Frozen Hot Chocolate was already weird to order but now it's FroCho which makes it sound like a high maintenance drink when it's not...I feel like those people who have complicated drink orders whenever I say ''I want a Frocho medium please''. ..Moral of my story is: Don't change the name of your items if they've already been established as something else...It's not really a problem but I figured I would write about it anyway...On a different note:.This location is very nice though and very convenient.
46-J3Ht5rxoJkXBzzoLEfA,3GT6dvS8YVusNGqIKBpD3w,w5ehB_TgJP_qtQ0E_KZCUQ,4,Not the nicest of the second cup chain but service always on spot like you would expect from a second cup
5K52Ebki9ezeTmFe_HPPSA,R3j9EzQCoxtv-VmNmY2x1Q,CYxN7qCmxj7D09bxK9x8cA,3,I've been to Aqua Sushi a few times for the sushis; and I have to say what you get is fine. ..The restaurant is very clean; the staff very professional and the food is fine. It is not extremely good; but it is fresh and tasty. The service is quick and attentive; while remaining discreet. you'll get to enjoy sushi while listening to Vietnamese music. Tell me about globalization! The prices are fair; and I would recommend taking their combos as they are the best price-quantity ratio. ..This place is the spot if you are looking for a quiet evening without any fuss. Relaxed and simple; this is a restaurant you come to if you are out of ideas or if you are in the area.
5K52Ebki9ezeTmFe_HPPSA,fpYMYJowa9Levq6SszNcvA,YtbqcY0pxjqp-JWqw9siZA,4,Seems like a new spot; still can smell the just finished construction inside; I was skeptical at first since the outside didn't look as good as the inside. Our group of three ordered six rolls; they come cut in slices of 5 and were rather chunky. I usually don't like chunky sushi but this was really delicious; I was really impressed with the effort put into preparation. My friend had the shrimp miso soup which had nice sized shrimp in it versus those 'cup-ol-noodles' shrimp you typically see in miso soups. I'd go again when I'm in Montreal.
5K52Ebki9ezeTmFe_HPPSA,00xGfvalJOhzGMxbqErz-A,UnjbZ7bO8ylg6kdO_VUDpw,3,Simple; clean interior. The food that I order was terrific. The sushi rolls were fresh and tasty; items on the menu cost from $3-$10. The wasabi was a bit weak in my opinion; but you can tell me when you try it...Very friendly and accommodating staff...I would go back to this place again.
6qZ7ENuqaPqwuttURXQSWg,JLdxmsngE7cjrwNT7zqgyQ,BgFsmV7kD5ZhMuWd4pmAVg,2,I've been here three times; and the staff has been great. Service is great. It's BYOW; so what's my problem??? I really want to like it; and I really want to support the St-Henri businesses; but unfortunately; all 3 times that I have been here; I found the food subpar.  ..The food has been more or less bland; and considering the prices; I wanted my seafood to be phenomenal; but it's always lacked pizazz. I've tried the Cod Balls; the Calamari; Grilled Salmon; Frittata; and the Piri-piri Chicken on my visits. The salmon was overdone; the frittata was ok; and the chicken was a bit dry. ..It was recommended to me originally by a couple that raved about the service and particularly the food; so I had to go and see what it was all about. They were right about the service; they were kind and courteous. The interior was very large; and the few times I have been there; it had been only partially full; so it was really noticeable how large the space was. It was because of that; that I didn't find the ambiance to be particularly warm or inviting. ..I'm sad to say it wasn't a hit for me.
6qZ7ENuqaPqwuttURXQSWg,nHjRBSbzPeqdq5_D3AirEg,D0jk146kmqeLNPN98hjFmw,5,LOVED this place ! Great quality food at a reasonable price and attentive friendly servers/staff; BYOW; warm and inviting ambiance. We tried the grilled octopus as well as a seafood stew; both were delicious. Definitely coming back !
6qZ7ENuqaPqwuttURXQSWg,tEZsTQEkZSK0RMjYZoZzZA,qGKRdrgxGKdkY4usewxkCg,3,Nice atmosphere; service was good; food was average though. Not bad; but nothing special.
6qZ7ENuqaPqwuttURXQSWg,O8rFLoRDSThqiF1yp-1ZgQ,ZqP3v6jMuB2H1lXUKa9Xkg,3,I probably would have given Bitoque four stars; but under the circumstances I had to dock them one. I'll go back to find out if they deserve that fourth one; though; because it was pretty tasty...I had a traditional striploin steak and fries with mushroom sauce. It was good; although I asked for it rare and it was definitely medium. My cousin sitting next to me asked for it medium and it was definitely well done. Tasted good; though. To start I had the sardine paté which was tasty as well...This place is BYOB only; which is cool with me 'cus we drank top-notch wines without paying the keystone vino markup...Where they fell short was on the service and overall experience. To give them credit; it was an incredibly busy night; but I'm of the opinion that a top level restaurant should staff properly and accommodate the guests it seats without compromising any aspect. Anyway; we went here with a party of 10 on December 22nd and it was packed full of other parties just like ours. Considering how crowded it was; the staff did ok; but they were definitely understaffed - like 3 servers for about 100 diners. They became flustered and service started to falter. For example; one of the young kids at our table spilled a glass of water and the waiter didn't re-set the table until we requested he do so. When he did 're-set' it; he only replaced the paper on top of the linen table cloth; so it immediately soaked through and was wet again. Other details were missed consistently throughout the night as well...Good food; decent service; unable to handle the busy holiday season; worth and try and another try.
6qZ7ENuqaPqwuttURXQSWg,hG0FxhGxIz5mv1ezaKcQiw,NGuFeCBqy7ybtm7FBfznMQ,2,Stars for the service and the bring your own wine. Otherwise terrible...We came as a group of 12 and were well accommodated. The server was super nice and the atmosphere was also pleasant. ..The food was so disappointing. Most of us ordered the group menu that came with a soup or salad; a main and a dessert for 37$...The highlight was the soup which was actually pretty tasty. The main and dessert were so salty and just unappetizing. Even the wine couldn't salvage the experience. Way overpriced for the quality we received...The service truly was great so 2 stars for that...Service:5/5.Food:0.5/5 .Atmosphere: 3.5/5.Value:1/5
6qZ7ENuqaPqwuttURXQSWg,aBiyPYz9HE6CSz2YqfudcA,XHMJ4cJKP9W6UwexoDi5bQ,4,It is a Portuguese restaurant.  Food is pretty good quality and tasty. Service is quick as well. Went there for dinner with a large group (like party of an 18). When we arrived no bad surprise... table was ready. Only one thing that we did not plan... it is BYOB!!!! That was a pain..Over all food and location are good. But BYOB is def kinda bummer
6qZ7ENuqaPqwuttURXQSWg,ct_FaVZtLhTL1TUOP3UdKA,0H8Jr3tI4nyDUT3QxGp4gQ,5,Loved my experience at Bitoque from start to finish! It is a place to sit linger and enjoy the event that dinner should be some nights!..I ordered the lamb shank off of the table d'hote and it was fall-off-the bone delicious! I also tasted the piri-piri shrimp for the hors d'oeuvres and loved it!..The staff was lovely; the owner came and spent time with us and refilled our glasses of water. He took us around to the special events room as well!..Don't go here if you are in a rush; because its all about the experience here and it's not super quick. ..Last but not least I had the cheesecake for dessert which was incredible!
6qZ7ENuqaPqwuttURXQSWg,0ZQMbnBUpuMpf1_DiT3HyQ,hdYUh_BOPz71Pxc_8NUFRg,4,Great bring your own wine..It's a great place for a simple night out with a good experience. .Sometimes they get overwhelmed when there are too many patrons but you'll enjoy your time if you're in good company as the ambiance is warm and comfortable. .It's never empty a good bet if you don't want to spend your last dollar. Especially compared to the other restaurants in the area.
6qZ7ENuqaPqwuttURXQSWg,PNSPNmEp_ro9tX6AuLBwBA,MThwqTamc6e43PR6dvgRJA,3,Second visit for me in 4 years; now as a pescatarian. So I had the fish tapas : sardines and croquettes de morue (which I unfortunately had to return because it was wayyyy too salty). An Even-with-beer-too-salty kind of taste. .Our waiter was very nice about it though; and offered me to replace it : I opted for the grilled squids - and my taste buds were very pleased. $11 for two medium-sized mollusques; perfectly grilled with spices and a delicious white; light sauce; a lot of it. Sadly; my friend had the steak (surlonge); and struggled with it the whole time. Lots of nerves/tendons; but the cooking was good. Overall we had a good experience. Bitoque is a good value and ideal to share plates and try a bunch of different things. They serve generous portions. Oh; and bring some gum or fruity Ice Breakers lol Lots of garlic and spices but so worth it :)
