20.4523	Little Sheep Mongolian Hot Pot	50 Rue de Ia Gauchetière O	3.5
15.1449	Les 3 Brasseurs	1658 St-Denis	3.5
14.6771	Copper Branch	1245 Rue Bishop	4.0
9.1533	Petite Maison	5589 Avenue du Parc	4.0
8.6633	Restaurant Sai Gwan	14 Rue de la Gauchetiere E	4.0
8.5507	Copper Branch	600 boul. de Maisonneuve West	3.0
8.0238	Punjab Palace	920 Rue Jean-Talon O	4.0
7.1449	Second Cup	1122 Sainte-Catherine Rue W	3.5
7.0782	Cacao 70	2087 Ste-Catherine St W	4.0
7.0215	La Chronique	104 Avenue Laurier Ouest	4.5
